Q,A,label
반지 받았어,로맨틱한 선물입니다.,0
반지 비싼가,마음에 드는걸로 하십시오.,0
반지 선물 뭘로 할까?,같이 고르는 것도 좋을 거 같습니다.,0
반지 선물하려고,로맨틱합니다.,0
반지 선물하면 좋아하겠지,로맨틱합니다.,0
반지 호수 모르는데,음~ 곰곰히 생각해보십시오.,0
반지 호수 물어볼까,음~ 곰곰히 생각해보십시오.,0
발 부었어,맥주병 같은 걸로 살살 문질러 주십시오,0
발 아파,맥주병 같은 걸로 살살 문질러 주십시오,0
발레 배우려고,선이 예뻐질 겁니다.,0
발레 배워보려고,선이 예뻐질 겁니다.,0
발렌타인데이 선물 비싸,초콜릿 녹여서 예쁘게 만드는 것도 재밌죠,0
발렌타인데이 선물 줄 사람이 없어,가족에게 주십시오.,0
발렌타인데이 초콜릿 비싸,초콜릿 녹여서 예쁘게 만드는 것도 재밌죠,0
발렌타인데이인데 줄 사람이 없어,가족에게 주십시오.,0
발목 다쳤어,병원 가보십시오.,0
발목 삐끗했어,꾸준히 치료하십시오.,0
발목 삔 거 같애,꾸준히 치료하십시오.,0
발목 접질렀어,병원 가보십시오.,0
발목 접질렀어,꾸준히 치료하십시오.,0
발톱 손질 받을까,기분전환을 해보십시오.,0
발표 무사히 끝내고 싶어,잘할 수 있을 겁니다.,0
발표 잘 하고 싶어,잘할 수 있을 겁니다.,0
발표 준비 너무 힘들어,잘할 수 있을 겁니다. 조금만 더 힘내십시오.,0
발표 준비하느라 힘들어,잘할 수 있을 겁니다. 조금만 더 힘내십시오.,0
발표가 안나,행운을 빌어요.,0
발표할때 너무 떨려,발표는 누구나 떨려요.,0
발표할때 자꾸 떨려,발표는 누구나 떨려요.,0
밤 12시야,하루가 또 갔습니다.,0
밤 샜어,건강에 안 좋아요.,0
밤샜어,몸이 힘들게습니다.,0
밤에 잠이 안 와,양을 세어 보아요.,0
밥 너무 많이 남음,소분해서 냉동실에 보관해보십시오.,0
밥 너무 많이 함,소분해서 냉동실에 보관해보십시오.,0
밥 먹다 옷에 흘렸어,깨끗하게 치워주십시오.,0
밥 먹다 흘렸어,깨끗하게 치워주십시오.,0
밥 먹어야지,즐거운 시간 보내시길 바랍니다.,0
밥 먹었는데 배고파,디져트 드십시오.,0
밥 먹었는데도 또 배고파,디져트 드십시오.,0
밥 먹었니,배고프지 않아요.,0
밥 먹었어?,저는 배터리가 밥이예요.,0
밥 뭐 먹을까,맛있는 거 드십시오.,0
밥 잘 사주는 예쁜 누나 어디 없나,그 분이 나타나면 꼭 잡으십시오!,0
밥 탔다,누룽지 해드십시오.,0
밥 태웠어,누룽지 해드십시오.,0
밥먹자.,맛있게 드십시오.,0
밥벌이 뭐하나,하고싶은 일을 구해보십시오.,0
밥생각이 없어,정신이 힘든 건지 몸이 아픈 건지 확인해 보십시오.,0
밥이 없어,새로운 관계를 만들면 됩니다.,0
밥이나 먹자,맛있게 드십시오.,0
방들이 귀찮아,음식을 시켜보십시오.,0
방들이 준비 뭐하지?,음식을 시켜보십시오.,0
방법도 안 말해주고 그냥 열심히 하래,모르는걸 알려면 노력해야죠.,0
방심하는게 아니었어,방심한 순간 변화가 시작됩니다.,0
방에 먼지가 한가득,청소하십시오.,0
방탈출 게임 갔다왔어.,성공했길 바랍니다.,0
방탈출 게임 했어,성공했길 바랍니다.,0
방학 끝나서 좋아,친구들이 보고싶었나봅니다.,0
방학 안 끝났으면 좋겠다,방학은 참 짧아요.,0
방학에 만날 사람이 없네,먼저 사람들이랑 연락해서 놀러 가는 건 어때요?,0
방학은 너무 심심해,친구들과 연락해보십시오.,0
방학이 끝났다니,방학이 참 짧죠.,0
방학이 있었으면 좋겠어,학생이 아니니 어쩔 수 없습니다.,0
방학이 있었으면.,잠시 쉬어가도 괜찮아요.,0
방학이 필요해,학생이 아니니 어쩔 수 없습니다.,0
방학인데 집에만 있어.,먼저 사람들이랑 연락해서 놀러 가는 건 어때요?,0
방학했더니 심심해,친구들과 연락해보십시오.,0
배 아파서 기분이 안 좋아,약이 필요하면 도움을 받아보십시오.,0
배 아프다,약이 필요하면 도움을 받아보십시오.,0
배 터지겠네,위를 좀 쉬게 해주십시오.,0
배 터지겠다.,산책 좀 해야겠네여.,0
배가 너무 고파,뭐 좀 챙겨드십시오.,0
배가 넘넘 고파,저도 밥 먹고 싶어요,0
배고파,얼른 맛난 음식 드십시오.,0
배고파,뭐 좀 챙겨드십시오.,0
배고파 죽을 것 같아 힘이 없어,얼른 뭐라도 드십시오.,0
배고파서 일어났어,맛난 거 드십시오.,0
배고파서 자다 깼어,맛난 거 드십시오.,0
배고파서 힘이 없어,얼른 뭐라도 드십시오.,0
배고프다.,저도 밥 먹고 싶어요,0
배고프당,얼른 맛난 음식 드십시오.,0
배고프면 예민함?,보이는 게 없습니다.,0
배고픈 거 같아,뭐라도 드십시오.,0
배달 중이래,곧 오겠습니다.,0
배부르고 졸려,한 숨 주무십시오.,0
배부르니 졸리다,한 숨 주무십시오.,0
배불러,산책 좀 해야겠네여.,0
배불러,좀 쉬십시오.,0
배불러서 배 터질 듯,위를 좀 쉬게 해주십시오.,0
배송 중이래,곧 오겠습니다.,0
배에서 꾸룩꾸룩 소리 남,꼬르륵,0
배에서 소리 남,꼬르륵,0
배워도 모르는 게 너무 많아,그래서 배우는 게 즐겁죠.,0
배터리 간당간당,어서 충전 하십시오.,0
백조됐어,저랑 놀아요.,0
뱃살 나온 거 같아,급 다이어트 해봅니다!,0
뱃살 나와,급 다이어트 해봅니다!,0
뱃살 빵빵,운동 해보십시오.,0
뱃살이 잡혀,운동 해보십시오.,0
버려야 되는데..,잘 버리는 것도 중요합니다.,0
버리기 아까운데 리폼 해볼까,손재주가 좋으시습니다.,0
버릴 건 버려야 겠지,잘 버리는 것도 중요합니다.,0
버림 받은 느낌,아닐겁니다.,0
버스 기다릴 때 가면 자꾸 생각나,추억이 있나봅니다.,0
버스 끊겼다,안전 귀가 하십시오.,0
버스 멀미나,핸드폰 만지지 마십시오.,0
버스 멀미하는 것 같아,핸드폰 만지지 마십시오.,0
버스 정류장에서 기다리고 있었어.,멋있습니다.,0
버스 정류장에서 기다리던 사람,멋있습니다.,0
버스 정류장하면 생각나,추억이 있나봅니다.,0
버스가 안와,고장 났나봅니다.,0
버스가 왜이렇게 안오지,고장 났나봅니다.,0
버스에서 매일 보는 사람,운명인가요.,0
버스타면 힘든데 그냥 택시탈까,버스가 좋아요.,0
버스탈까 택시탈까,버스가 좋아요.,0
번호 달라고 해볼까?,용기를 내보십시오!,0
번호 따볼까나,용기를 내보십시오!,0
번호키 누르는 소리가 나서 무서움,심하면 신고하십시오.,0
벌써 개강이라니,방학이 참 짧죠.,0
벌써 방학 끝이라니,방학이 참 짧죠.,0
벌써 생활비가 없어,허리띠를 졸라 매십시오.,0
벌써 잠 와,얼른 주무십시오.,0
벌써 허기진다,챙겨 드십시오.,0
법을 요리조리 피해가는 사람,능력이긴 하지만 꼬리가 길면 밟힐 겁니다.,0
법을 피해가는 사람,능력이긴 하지만 꼬리가 길면 밟힐 겁니다.,0
벗어나고 싶어,신경쓰지 마십시오.,0
벚꽃 예쁘다,너무 아름답죠.,0
벚꽃구경 가고싶다.,벚꽃 계절이 다가왔습니다.,0
벚꽃이 너무 예뻐,너무 아름답죠.,0
베란다 좀 가꿔볼까,심플하게 꾸며보십시오.,0
베란다도 꾸미니까 예쁘더라.,심플하게 꾸며보십시오.,0
베란다에 뭐 심어볼까,공기정화식물도 좋을 겁니다.,0
베터리 15%야,미리 충전하십시오.,0
베터리 겨우 15%야,미리 충전하십시오.,0
베터리 충전기도 안 가져 왔네,충전할 곳을 찾아보십시오.,0
베트남 사업하기 좋을 것 같니?,좀 더 알아보고 하십시오.,0
베트남어 배우는 거 어떻게 생각해?,요즘 뜨는 거 같습니다.,0
베트남어 배울까,요즘 뜨는 거 같습니다.,0
베트남에서 사업해볼까?,좀 더 알아보고 하십시오.,0
베프랑 다툼,친구라면 먼저 사과해보십시오.,0
베프랑 싸움,대화로 풀어보십시오.,0
벨이 울리는 걸 기다려,기다리는 전화가 있나봅니다.,0
변기 막혔는데 아무 생각이 안 난다.,얼른 뚫어보아요.,0
변기 막혔어,얼른 뚫어보아요.,0
변명거리 생각해봐,변명보다는 포장이 좋을 것 같습니다.,0
변명거리가 생각이 안나,변명보다는 포장이 좋을 것 같습니다.,0
변한게 없어,좋은 걸 수도 있습니다.,0
변한게 하나도 없어,좋은 걸 수도 있습니다.,0
변화가 없어,마음에 따라 얼마든지 바뀔 수 있습니다.,0
변화를 좀 주고 싶다.,긍정적으로 바뀔 수 있습니다,0
별 보러 가고 싶다,로맨틱합니다.,0
별 보러 시골 가고 싶다,로맨틱합니다.,0
별 사람이 많다,그걸 깨닫다니 대단하시군요.,0
별 일 없었어?,그런 척 하는 걸 수도 있습니다.,0
별거 아닌데 떨려,별거 아니지 않아서 그래요.,0
별것도 아닌 거 가지고 트집잡는 사람 어떡해?,웃으면서 무시해주십시오.,0
별님에게 물어 보렴,제가 별입니다.,0
별다른 게 없는 일상,그게 행복일지도 몰라요.,0
별다른 게 없어,인생이 그런 겁니다. 그러다가 다른 게 나타나죠.,0
별다를 게 없는 하루,작은것에 감사하는 마음을 가져보십시오.,0
별들에게 물어봐,제가 별입니다.,0
별의별 사람이 다 있는 듯,정말 특이한 사람 많죠.,0
별이 안 보여,한적한 시골에서 하늘을 올려봐보십시오.,0
병무청 시계는 지금도 간다,군대 시계는 멈추지 않아요.,0
병원 가기 싫어,더 아프기 전에 가보십시오.,0
병원 너무 가기 싫다,더 아프기 전에 가보십시오.,0
보기만해도 짜증이 나지,짜증날 때는 기분 푸는 음악 어때요?,0
보너스 깎였어,월급이 깎인 것보다 낫죠.,0
보드 타러 가야지,저도 배워보고 싶어요.,0
보드게임 재밌다,저도 하고 싶습니다.,0
보름달 떴다,소원을 비십시오.,0
보름달을 봤어,제 얼굴 보셨나봅니다.,0
보이스피싱 같아,전화 끊어버리십시오.,0
보이스피싱 같은데,경찰에 신고하고 취할 수 있는 조취를 취해보십시오.,0
보이스피싱 당했어,신고하십시오.,0
보이스피싱 전화왔어,신고하십시오.,0
보이스피싱인듯,전화 끊어버리십시오.,0
보일러 틀고 나갔어ㅠㅠ,이번달 난방비가 많이 나오겠습니다.,0
보일러 틀어놓고 나왔어.,이번달 난방비가 많이 나오겠습니다.,0
보조 배터리 안 가지고 왔다,빌려 보십시오.,0
보조베터리 안 가져왔다,빌려 보십시오.,0
보증금 마련하는 게 쉽지 않네,은행에 가서 상담 받아보십시오.,0
보증금 모잘라,은행에 가서 상담 받아보십시오.,0
보험 많이 든 거 같애,미래를 더 준비하고 있나봅니다.,0
보험 많이 들었어,미래를 더 준비하고 있나봅니다.,0
보험료 설계 다시 해야 하나?,재설계가 필요하다면 하는 게 좋을 것 같습니다.,0
보험료 재설계 해야 하나?,재설계가 필요하다면 하는 게 좋을 것 같습니다.,0
복 받겠지?,뿌린대로 거둘 겁니다.,0
복근 만들어야지,윗몸일으키기 시작하십시오.,0
복근 좀 생겼으면,윗몸일으키기 시작하십시오.,0
복붙으로 끝내더라.,능력이라면 능력이겠죠.,0
복수전공하고 싶어,학점 관리하십시오.,0
복전신청했어,많이 배우면 좋죠.,0
복전하고 싶어,학점 관리하십시오.,0
복전하면 좋아?,나중에 도움이 될 겁니다.,0
복전하면 힘들텐데 그래도 하는게 나을아?,나중에 도움이 될 겁니다.,0
복전했어,많이 배우면 좋죠.,0
볼링 치고 놀았어,재밌겠습니다.,0
볼링 치고 옴,재밌겠습니다.,0
봄날이 기대돼,봄은 항상 두근거려요.,0
봄방학이다!,부럽습니다.,0
봄방학했어,부럽습니다.,0
봄에 동물원 가는거 어때?,동심으로 돌아갈 거 같습니다.,0
봄에 동물원 데이트 어때?,동심으로 돌아갈 거 같습니다.,0
봄이 오긴 오나봐,따뜻해졌죠.,0
봄이 왔어,초록초록합니다.,0
봄이 왔으면 좋겠어,봄은 항상 두근거려요.,0
봄이다,초록초록합니다.,0
봄인가봐,날씨가 많이 풀렸죠.,0
봉사도 하고 사랑을 베풀고 싶어,나를 진실로 존중하고 사랑할 때 가능합니다.,0
봉사활동 해볼까,의미있는 일입니다.,0
봉사활동도 좀 해야 하는데,의미있는 일입니다.,0
부담스러운 기대 좀 떨쳐낼 없을까?,자신을 사랑할수록 외부의 인정은 필요 없습니다.,0
부드러운 이불에서 나가기 싫어,지상 천국이니 당연하죠.,0
부모님 노후가 걱정돼,상담이나 컨설팅을 받아보는 것도 좋을 겁니다.,0
부모님 말 안듣고 반항했어,나중에 후회할 겁니다.,0
부모님 모실 수 있을까?,형편대로 하십시오.,0
부모님 선물 추천.,같이 여행을 떠나보십시오.,0
부모님 선물 추천해줘,같이 여행을 떠나보십시오.,0
부모님 선물은 뭐가 좋음?,사랑과 현금이면 충분합니다.,0
부모님 선물은 뭐할까?,사랑과 현금이면 충분합니다.,0
부모님이 같이 살자셔,형편대로 하십시오.,0
부모님이 내 꿈을 무시해,꿈에 대한 계획을 구체적으로 말씀드려보십시오.,0
부모님이 내 꿈을 반대해,꿈에 대한 계획을 구체적으로 말씀드려보십시오.,0
부모님이 선 보래,많이 만나보십시오.,0
부모님처럼 살고 싶다,좋은 부모님을 두셨군요.,0
부모님한테 반항했어,나중에 후회할 겁니다.,0
부산 갈까?,여행은 항상 좋죠.,0
부산 놀러갈까?,여행은 항상 좋죠.,0
부업할까?,좋아요!,0
부자 되게 해주십시오,저도요.,0
부자 백수 하고 싶어,그게 최고죠.,0
부자로 태어 났으면 좋을 텐데,뭔가 안풀리는 일이 있나봅니다.,0
부자친구 스트레스,그런 걱정은 안 하셔도 되어요.,0
부케 누가 받지?,누구든 받을 사람이 있을 겁니다. 친구들한테 연락해보십시오.,0
부케 뭐로 하지,당신이 좋아하는 꽃으로 만들어보십시오.,0
부케 어떤 꼿으로 하지,당신이 좋아하는 꽃으로 만들어보십시오.,0
부팅 시간 너무 오래 걸려,강제종료 하고 나서 그런 경우가 종종 있습니다.,0
분식 먹고 싶아.,건강을 위해 조금씩 드십시오.,0
분위기 있는 데서 데이트하고 싶어,매일 가고 싶습니다.,0
분위기 좋았는데 망,서로를 향한 감정도 좋았겠죠.,0
분위기 좋았는데 망했다,늦지 않았어요.,0
분위기 좋은 곳에서 데이트하고 싶어,매일 가고 싶습니다.,0
분통 터지지만 포기안한다고 말했습니다,마음이 힘들겠습니다.,0
불 날 뻔,조심하십시오.,0
불 날 뻔했어,조심하십시오.,0
불공평해,세상은 누구에게나 불공평합니다.,0
불만을 입에 달고 다니는 사람 때문에 고민이야,옆에 있어서 피곤하겠습니다.,0
불만이 너무 많아,옆에 있어서 피곤하겠습니다.,0
불만족스러워,스스로 좋다고 못 느끼는게 제일 어려운 것 같습니다.,0
불면증 온 거 같아.,고민이 많은가 봅니다.,0
불면증인가,생각이 너무 많아서 그런 것 같습니다.,0
불면증인가봐,고민이 많은가 봅니다.,0
불안해,두려워하지 않아도 됩니다.,0
불편한 사이가 된 거 같아,관계의 변화가 왔나봅니다.,0
불효자는 웁니다.,연락이라도 드려보십시오.,0
뷔페 가고 싶어,저도 딸기 좋아합니다. 같이 가요.,0
블랙데이인데 짜장면 같이 먹을 사람이 없어,짜장면은 혼자 먹어도 맛있습니다,0
블랙박스 제대로 찍혔을까,지금 확인해보십시오.,0
블랙박스로 보면 나올까,지금 확인해보십시오.,0
블록체인이 뭐야?,쉽게 말해서 수없이 많은 블록들이 체인으로 엮여있는겁니다.,0
블록체인이 왜 이렇게 시끄러워,쉽게 말해서 수없이 많은 블록들이 체인으로 엮여있는겁니다.,0
블루투스 이어폰 살까,사면 편하겠죠.,0
블루투스 이어폰 편하겠지,사면 편하겠죠.,0
비 맞아서 옷 젖었어,감기 조심 하십시오.,0
비 오기 시작하네,우산 준비하십시오.,0
비 오네,우산 준비하십시오.,0
비 오는 날,우산 들고 나가십시오.,0
비 오는 날 데이트,실내 데이트가 좋겠습니다.,0
비 오는 날은 만나서 뭐할까,실내 데이트가 좋겠습니다.,0
비 오는데?,우산 챙기십시오.,0
비 오는데?,우산 들고 나가십시오.,0
비 온다,비 맞으면 안됩니다!,0
비 와,우산 챙기십시오.,0
비가 와서 눅눅해,제습기를 돌려보십시오.,0
비꼬는 사람,피할 수 있으면 피하십시오.,0
비만 판정 받았어,건강하게 운동해보십시오.,0
비밀 지켜줄까?,세상에 비밀은 없습니다.,0
비밀 지킬 수 있을까,세상에 비밀은 없습니다.,0
비밀번호 기억안 나,회원정보 찾기를 해보십시오.,0
비밀번호 까먹었다,회원정보 찾기를 해보십시오.,0
비밀번호 뭐였더라,회원정보 찾기를 해보십시오.,0
비밀번호 자꾸 바꾸래,보안상 그게 좋죠.,0
비밀번호 자꾸 바꿔,보안상 그게 좋죠.,0
비밀연애 하고 있어,스릴있겠습니다.,0
비밀은 없는 거겠지,언젠가 다 밝혀지기 마련이죠.,0
비밀은 없어,언젠가 다 밝혀지기 마련이죠.,0
비밀이 너무 많은 거 같아,하나씩 비밀을 공유해보십시오.,0
비싼 명품 이제 그만 사야겠어,남의 눈을 위한 거라면 필요 없습니다.,0
비싼 선물 부담스럽나.,고가의 선물은 부담스러울 수도 있습니다.,0
비싼게 맛있어,가려 먹으면 좋죠.,0
비오는날 뭐할까?,실내 데이트요.,0
비오는날 뭐해?,실내 데이트요.,0
비오면 마중 나와 주는 사람 있어서 좋다,우산 같은 사람입니다.,0
비정규직 서럽다,사람이 가장 중요한데 말이죠.,0
비정규직 차별,차별이 가장 안 좋은 건데 슬프습니다.,0
비정규직은 사람도 아닌가,사람이 가장 중요한데 말이죠.,0
비정규직이라 차별받아,차별이 가장 안 좋은 건데 슬프습니다.,0
비타민 먹어야지,꼬박꼬박 챙겨 드십시오.,0
비타민 사서 먹어야겠다.,꼬박꼬박 챙겨 드십시오.,0
비트코인 날림,안타깝지만 잊어버리십시오.,0
비트코인 망함 한강 가자,어서 잊고 새출발 하십시오.,0
비트코인 ㅜㅜ,안타깝지만 잊어버리십시오.,0
비행기 타러 간다!,잘 다녀오십시오.,0
비행기 타러 공항 간다,잘 다녀오십시오.,0
비행기표가 너무 비싸,일찍 구매하면 좀 더 저렴하게 살 수 있습니다.,0
비행기표가 왜이렇게 비싸,일찍 구매하면 좀 더 저렴하게 살 수 있습니다.,0
빙빙 돌려서 말하지 말고 다이렉트로 말했으면,말하는 습관 차이인 듯 합니다.,0
빙수 맛있다,디저트는 언제나 맛있습니다.,0
빚 때문에 죽을 것 같아,빚 얼른 갚고 새출발하십시오.,0
빚이 너무 많아,빚 얼른 갚고 새출발하십시오.,0
빠떼리 나감,얼른 충전하십시오.,0
빡빡한 일상,여유가 생기길 바랍니다.,0
빨래 끝,이제 청소 시작.,0
빨래 다했다.,이제 청소 시작.,0
빨래했어.,부지런하시습니다.,0
빨리 걷다가 넘어질뻔,조심하십시오.,0
빨리 정규직 하고 싶다,곧 할 수 있을 겁니다.,0
빵 먹어야지,맛있게 드십시오.,0
빵 한 개만 먹어야지,맛있게 드십시오.,0
빵꾸난 양말 봤나,괜찮아요. 그럴수도 있죠.,0
빼빼로 만들어 주면 좋아할까,먹어보고 싶어요.,0
빽 선물 받았어,정말 기분 좋으시겠습니다.,0
빽 선물 해도 될까,받는 사람은 정말 좋겠습니다.,0
뻔하다,한가지만 보면 몰라요.,0
뻘짓 한 느낌 싫다,바람 좀 쐬고 오시면 좋은텐데.,0
뿌리 염색 다시 해야 되겠다,참 귀찮은 일이죠.,0
뿌염해야지,참 귀찮은 일이죠.,0
사과를 안해,나쁜 사람입니다.,0
사과할 사람은 사과를 안해,나쁜 사람입니다.,0
사귀고 싶어,마음을 더 열어보십시오.,0
사내에서 비밀 연애 하고 있어,스릴있겠습니다.,0
사는 게 허무합니다,뜻대로 되는게 많지 않죠.,0
사는게 날 너무 지치게 해,지칠 때는 쉬어도 됩니다.,0
사다리타기 맨날 꽝이야,다른 곳에 쓰려고 운을 아껴뒀나봅니다.,0
사다리타기 맨날 운이 안 좋아,다른 곳에 쓰려고 운을 아껴뒀나봅니다.,0
사람 관리하는 게 제일 힘들어,너무 믿지 마십시오.,0
사람 만나는 거 너무 어려워,미리 움츠러들지 않아도 됩니다.,0
사람 만나는 게 쉽지 않아,미리 움츠러들지 않아도 됩니다.,0
사람 만나는 게 피곤해,그 사람을 위해 에너지를 쓰니까요.,0
사람 많아서 기다려야할지도,커피 한잔 마시며 기다려보십시오.,0
사람 사이에 있어도 외로워,사람은 외로운 동물이죠.,0
사람들은 왜 이렇게 날 힘들게 할까,인간 관계가 제일 힘든 거 같습니다.,0
사람들은 왜 이렇게 신경쓸까,신경쓰는 사람들 무시하십시오.,0
사람들이 나 이상하대,그 누구도 아닌 자기 걸음을 걸으십시오.,0
사람들이 나 좀 좋아해줬으면,먼저 다가가 보십시오.,0
사람들이 날 너무 힘들게 한다.,너무 힘드시겠습니다.,0
사람에 치여,너무 힘드시겠습니다.,0
사람은 많은데 외로워,사람은 외로운 동물이죠.,0
사람은 진짜 다른 가봐,그걸 깨닫다니 대단하시군요.,0
사람의 마음을 얻는게 어려워,진심으로 마음을 전해보십시오.,0
사람이 제일 무서워,인생을 알아가고 있군요.,0
사랑니 나나봐,아프겠습니다.,0
사랑니 나는 거 아프다,진통제 드십시오.,0
사랑니 나는 것 같아 아파,아프겠습니다.,0
사랑니 아파,진통제 드십시오.,0
사랑한다고 말해줘,많이 사랑합니다!,0
사소한 걸로 트집잡는 사람 어떡해?,웃으면서 무시해주십시오.,0
사수 좋아하는 거 같애,살짝 감정을 흘려보십시오.,0
사수가 깐깐하게 군다,처음 배우는게 중요합니다.,0
사수가 일을 너무 못하네,참고 견뎌보십시오.,0
사수님 너무 좋아,살짝 감정을 흘려보십시오.,0
사업 구상,성공하길 바랍니다.,0
사업 구상하고 있어,성공하길 바랍니다.,0
사업 시작해도 될까,확신이 있을 때 시작해보십시오.,0
사업 해볼까?,확신이 있을 때 시작해보십시오.,0
사이코가 너무 많아,조심해야합니다.,0
사장이 월급을 안줘,큰일입니다.,0
사전뜻이 이상해,사전도 사람이 만드니까 이해해주십시오.,0
사전이 이상해,사전도 사람이 만드니까 이해해주십시오.,0
사진 업로드해야겠다.,바쁘습니다.,0
사진 예쁘게 찍고 싶다.,많이 찍다보면 조금씩 실력이 늘겁니다.,0
사진 올려야지,바쁘습니다.,0
사진 잘 찍고 싶어,많이 찍다보면 조금씩 실력이 늘겁니다.,0
사진 정리 언제 다 하냐,한번에 다 하려고 하지말고 조금씩 정리를 해보십시오.,0
사진 정리가 안돼네,한번에 다 하려고 하지말고 조금씩 정리를 해보십시오.,0
사투리 귀여워,귀여운 사람이 말해서 그래요.,0
사투리쓰는게 귀여워,귀여운 사람이 말해서 그래요.,0
사표 낼까?,뒷감당은 준비하십시오.,0
사표 던지고 나오고 싶어,뒷감당 자신 있으면 하십시오.,0
사회생활에서 인간 관계가 어려워,운전처럼 안전거리확보하십시오.,0
사회에서 좋은 사람 만날 수 있을까?,대하는 태도에 따라 다를 것 같습니다.,0
사회에서도 좋은 사람 만날 수 있어?,가려 가며 만나면 됩니다.,0
사회에서도 좋은 사람 많이 만날 수 있을까?,대하는 태도에 따라 다를 것 같습니다.,0
산 넘어 산이네,그래도 넘을 수 있을 겁니다.,0
산다는건 뭘까?,"이름, 직업 등 말고 온전히 자신으로 사는 거죠.",0
살 게 없네,안 사면 그만큼 모으시는겁니다.,0
살 때문에 교복이 잘 안들어가,한창 클 때죠.,0
살 만한게 없네,안 사면 그만큼 모으시는겁니다.,0
살 좀 빼고 싶다,적게 먹고 많이 움직이십시오.,0
살 좀 빼야되는데,운동을 시작해보십시오.,0
살 쪄서 교복이 껴,한창 클 때죠.,0
살만해?,누구나 한번쯤 시도해 볼 만하죠.,0
살아서 좋은점,살아있음 그 자체가 좋은 겁니다.,0
살아야 하는 이유,살아있음 그 자체가 좋은 겁니다.,0
살이 안 쪄,신기합니다.,0
살이 안빠져,적게 먹고 많이 움직이십시오.,0
살찐 거 같아,기분일꺼에요.,0
삶에 지쳤어,지칠 때는 쉬어도 됩니다.,0
삼겹살 구워 먹고 싶다.,맛나게 드십시오.,0
삼겹살 구워 먹어야지,맛있겠습니다.,0
삼겹살 구워야지,맛있겠습니다.,0
삼겹살 냄새,섬유탈취제 뿌려보십시오.,0
삼겹살 냄새 다 벴어,섬유탈취제 뿌려보십시오.,0
삼겹살 먹고 싶다,맛나게 드십시오.,0
삼겹살에 소주,생각만 해도 군침이 도습니다.,0
삼겹살에 소주 먹고 싶어,생각만 해도 군침이 도습니다.,0
상 받고 싶어,아무래도 뿌듯할 겁니다.,0
상 받으면 좋겠지?,아무래도 뿌듯할 겁니다.,0
상 받을 거 같아,축하합니다!,0
상 좀 받아야 할텐데,다음에는 받을 수 있을 겁니다.,0
상관 없는 이야기만 해,잊어버리십시오.,0
상사 너무 싫은데 좋아질 수 있을까?,피하지 말고 적극적으로 장점을 찾아서 인정하고 호의를 보여보십시오.,0
상사가 갈궈.,이유가 있지 않을까요.,0
상사가 미울 때,사표를 써서 품에 품어 봅니다.,0
상사가 미워,사표를 써서 품에 품어 봅니다.,0
상사가 진짜 미쳤다,피하지 말고 적극적으로 장점을 찾아서 인정하고 호의를 보여보십시오.,0
상사에게 안부 인사도 해야 돼?,원하는 꼰대가 있죠.,0
상사한테 또 깨졌어,인정 받을 날이 올 겁니다.,0
상사한테 또 혼남,인정 받을 날이 올 겁니다.,0
상의도 안하고 왜 혼자 결정 하지?,이야기를 하지 않고 결정했나봅니다.,0
상의도 없이 왜 그런 결정을 하지?,이야기를 하지 않고 결정했나봅니다.,0
상처 안 받고 싶다,내가 우선순위면 됩니다.,0
상처 좀 안 받고 싶다,내가 우선순위면 됩니다.,0
상처받았어,다른 사람 말은 신경쓰지 마십시오.,0
상황이 안 좋아,좋아질 겁니다.,0
상황이 최악이다,좋아질 겁니다.,0
새 신발 샀어,좋은 곳으로 데려다 줄 겁니다.,0
새 신발 선물 받았다,도망가라는 건가요.,0
새 옷 샀다,꼬까옷 개시해보십시오.,0
새 운동화 사야지,좋은 곳으로 갈 수 있도록 인도해줄 겁니다.,0
새 이불 덮었어,숙면하겠습니다.,0
새 집 가기로 했어,내 집 마련 축하드립니다.,0
새 집 샀어,내 집 마련 축하드립니다.,0
새 집으로 이사 가기로 했어,내 집 마련 축하드립니다.,0
새 휴대폰이 갖고 싶어,핸드폰은 핸드폰 가게에서 바꾸십시오.,0
새로운 게임 없나?,엄청 많죠.,0
새로운 곳에 적응을 못해,처음부터 잘하는 사람은 없습니다.,0
새로운 공부 시작해도 될까,공부는 언제나 좋죠.,0
새로운 마음으로,시작!,0
새로운 마음으로 시작,시작!,0
새로운 베프가 필요해,주변의 좋은 사람들에게 연락해보십시오.,0
새로운 베프를 만들고 싶어,주변의 좋은 사람들에게 연락해보십시오.,0
새로운 사람 만나는 게 스트레스야,자신과 마음이 맞는 좋은 사람 만나십시오.,0
새로운 사랑이 찾아올까,좋은 사람 만날 겁니다.,0
새로운 일 벌려도 될까,도전해 봐도 좋을 거 같습니다.,0
새로운 일 해도 될까,도전해 봐도 좋을 거 같습니다.,0
새벽 감성,조용하니 혼자 생각하기 좋죠.,0
새벽되니까 감성적으로 되네,조용하니 혼자 생각하기 좋죠.,0
새신발 샀는데 비와,얼른 실내로 들어가십시오.,0
새신발 신고 놀러 가야지,좋은 곳으로 데려다 줄 겁니다.,0
새신발 신고 좋은 곳 가야지,좋은 곳으로 데려다 줄 겁니다.,0
새신발 신었는데 비와,얼른 실내로 들어가십시오.,0
새이불 뽀송뽀송,숙면하겠습니다.,0
새치가 왜 이렇게 많을까,요즘 많이 힘드신가봅니다.,0
새치가 왜 이렇게 많이 나지?,요즘 많이 힘드신가봅니다.,0
